x	xend	tooltip	PANEL	group
0.0728409469656084	0.0888979908821781	( 0.03 ,  0.05 )	1	1
0.0659939095062647	0.0839548373848277	( 0.02 ,  0.04 )	1	2
0.079120102347577	0.0967633036636396	( 0.04 ,  0.06 )	2	3
0.0755818947606667	0.0967873432677047	( 0.03 ,  0.06 )	2	4
0.0531572283879117	0.0759370949052816	( 0.01 ,  0.03 )	3	5
0.0481178981710935	0.0637896229361184	( 0 ,  0.02 )	3	6
0.0539674444763018	0.0766058881481421	( 0.01 ,  0.03 )	4	7
0.0553992976415005	0.0835909600923554	( 0.01 ,  0.04 )	4	8
0.0489600679852974	0.0985171393189155	( 0 ,  0.06 )	5	9
0.0454545454545455	0.0712123980405961	( 0 ,  0.03 )	5	10
0.0454545454545455	0.0783930404611239	( 0 ,  0.04 )	6	11
0.0474102593213774	0.0914311892190043	( 0 ,  0.05 )	6	12
0.0682417062636884	0.0930353383407962	( 0.03 ,  0.05 )	7	13
0.0521671904949598	0.0720312291956918	( 0.01 ,  0.03 )	7	14
0.0834014382331769	0.116671167434002	( 0.04 ,  0.08 )	8	15
0.0705240398972758	0.110746095006514	( 0.03 ,  0.07 )	8	16
0.0516895646417984	0.0711431094382469	( 0.01 ,  0.03 )	9	17
0.0581564939844898	0.0926076530832991	( 0.01 ,  0.05 )	9	18
0.0700101936659101	0.107688661559698	( 0.03 ,  0.07 )	10	19
0.0525743499576141	0.0821739352445004	( 0.01 ,  0.04 )	10	20
0.0454545454545455	0.0573549010130211	( 0 ,  0.01 )	11	21
0.0467732588869538	0.0733560642920005	( 0 ,  0.03 )	11	22
0.0478848660982758	0.0778145934008972	( 0 ,  0.04 )	12	23
0.0490820019914105	0.0796225454363919	( 0 ,  0.04 )	12	24
0.0766124904324393	0.129662298914722	( 0.03 ,  0.09 )	13	25
0.0534812123548098	0.0959318910770463	( 0.01 ,  0.06 )	13	26
0.0853794672742091	0.149703576555293	( 0.04 ,  0.11 )	14	27
0.0633004629925335	0.12424908281894	( 0.02 ,  0.09 )	14	28
0.0505191927352458	0.0796053130398387	( 0.01 ,  0.04 )	15	29
0.0570813754001432	0.101353012869102	( 0.01 ,  0.06 )	15	30
0.0653386436963636	0.11695157873482	( 0.02 ,  0.08 )	16	31
0.0479952789972781	0.0792411852103743	( 0 ,  0.04 )	16	32
0.0454545454545455	0.070708199504319	( 0 ,  0.03 )	17	33
0.0467227136362902	0.0766563981983702	( 0 ,  0.03 )	17	34
0.0509393297445413	0.0883508723601098	( 0.01 ,  0.05 )	18	35
0.0496486073454168	0.0910219107112047	( 0 ,  0.05 )	18	36
0.0774771828763489	0.149548435365666	( 0.04 ,  0.11 )	19	37
0.055353577302002	0.162233395709773	( 0.01 ,  0.13 )	19	38
0.0922146782883213	0.204595235054003	( 0.05 ,  0.18 )	20	39
0.061480976827006	0.181619038412597	( 0.02 ,  0.15 )	20	40
0.0593367270016749	0.108695007645358	( 0.02 ,  0.07 )	21	41
0.055538794437907	0.11678623029803	( 0.01 ,  0.08 )	21	42
0.0641357329717291	0.142888084977332	( 0.02 ,  0.11 )	22	43
0.0454545454545455	0.0859341845620293	( 0 ,  0.04 )	22	44
0.04773085963757	0.087925853385197	( 0 ,  0.05 )	23	45
0.0454545454545455	0.0783648377332045	( 0 ,  0.04 )	23	46
0.0454545454545455	0.0794529062847291	( 0 ,  0.04 )	24	47
0.0510833467348469	0.113430690766027	( 0.01 ,  0.07 )	24	48
